,Open,High,Low,Close,Adjusted close,Volume,Dividend amount,Split coefficient,Return,MA_7,MA_30
1999-12-22,109.87,110.31,108.0,108.0,54.0425639369719,4005600.0,0.0,1.0,-0.019251725390483143,108.96571428571428,105.64033333333333
1999-12-23,109.12,110.44,108.19,108.62,54.352808285499,4528700.0,0.0,1.0,0.005740740740740824,108.8757142857143,106.02766666666666
1999-12-27,109.69,110.0,108.12,109.75,54.9182536303951,3740700.0,0.0,1.0,0.010403240655496138,109.26857142857145,106.51933333333334
1999-12-28,109.56,110.75,109.06,109.81,54.9482772770267,4083100.0,0.0,1.0,0.000546697038724453,109.35714285714286,106.984
1999-12-29,110.44,110.5,108.75,109.0,54.5429580474994,2683300.0,0.0,1.0,-0.0073763773791093445,109.21428571428571,107.482
1999-12-30,109.69,110.5,108.56,108.75,54.4178595198676,3435100.0,0.0,1.0,-0.002293577981651418,109.14999999999999,107.953
1999-12-31,109.19,109.5,106.62,107.87,53.9775127026033,2870300.0,0.0,1.0,-0.008091954022988457,108.82857142857144,108.42366666666666
2000-01-03,112.44,116.0,111.87,116.0,58.0457168211921,10347700.0,0.0,1.0,0.0753684991193102,109.97142857142856,109.02366666666667
2000-01-04,114.0,114.5,110.87,112.06,56.0741640257136,8227800.0,0.0,1.0,-0.033965517241379306,110.46285714285715,109.29433333333333
2000-01-05,112.94,119.75,112.12,116.0,58.0457168211921,12733200.0,0.0,1.0,0.035159735855791574,111.35571428571428,109.56533333333333
2000-01-06,118.0,118.94,113.5,114.0,57.044928600137,7971900.0,0.0,1.0,-0.017241379310344862,111.95428571428572,109.82999999999998
2000-01-07,117.25,117.94,110.62,113.5,56.7947315448733,11856700.0,0.0,1.0,-0.004385964912280715,112.59714285714287,110.12999999999998
2000-01-10,117.25,119.37,115.37,118.0,59.0465050422471,8540500.0,0.0,1.0,0.0396475770925111,113.91857142857144,110.56333333333332
2000-01-11,117.87,121.12,116.62,119.0,59.5468991527746,7873300.0,0.0,1.0,0.008474576271186418,115.50857142857141,111.057
2000-01-12,119.62,122.0,118.25,119.5,59.7970962080384,6803800.0,0.0,1.0,0.004201680672268893,116.00857142857141,111.60499999999999
2000-01-13,119.94,121.0,115.75,118.25,59.171603569879,8489700.0,0.0,1.0,-0.010460251046025104,116.89285714285714,112.09933333333333
2000-01-14,120.94,123.31,117.5,119.62,59.8571435013017,10956600.0,0.0,1.0,0.011585623678646906,117.41000000000001,112.57766666666667
2000-01-18,119.69,119.75,115.0,115.75,57.9206182935602,7643900.0,0.0,1.0,-0.03235244942317339,117.66000000000001,112.70700000000001
2000-01-19,115.56,122.0,112.69,119.5,59.7970962080384,8634500.0,0.0,1.0,0.03239740820734349,118.51714285714287,112.82366666666667
2000-01-20,123.0,124.75,119.0,119.0,59.5468991527746,17783400.0,0.0,1.0,-0.004184100418409997,118.66000000000001,112.903
2000-01-21,121.87,123.0,119.94,121.5,60.7978844290934,7868700.0,0.0,1.0,0.021008403361344463,119.01714285714287,113.01033333333335
2000-01-24,121.87,122.87,116.56,121.5,60.7978844290934,6499200.0,0.0,1.0,0.0,119.30285714285716,113.28133333333334
2000-01-25,116.75,119.5,116.0,119.12,59.6069464460379,6936900.0,0.0,1.0,-0.01958847736625513,119.42714285714285,113.61866666666667
2000-01-26,119.06,119.94,116.0,116.75,58.4210124040877,4895100.0,0.0,1.0,-0.019895903290799266,119.01714285714284,113.85366666666667
2000-01-27,118.0,118.44,111.62,113.5,56.7947315448733,8324600.0,0.0,1.0,-0.027837259100642386,118.69571428571427,113.99533333333333
2000-01-28,112.75,114.19,110.06,111.56,55.8239669704499,6669400.0,0.0,1.0,-0.01709251101321585,117.56142857142856,114.14733333333334
2000-01-31,111.37,112.81,109.62,112.25,56.1692389067139,6202700.0,0.0,1.0,0.006185012549300817,116.59714285714287,114.24933333333334
